path,label
dataset\1\C1_2281.jpg,1
dataset\1\C1_458.jpg,1
dataset\0\C0_1658.jpg,0
dataset\3\C3_1280.jpg,3
dataset\3\C3_1194.jpg,3
dataset\3\C3_1534.jpg,3
dataset\3\C3_872.jpg,3
dataset\2\C2_1041.jpg,2
dataset\1\C1_961.jpg,1
dataset\1\C1_1570.jpg,1
dataset\1\C1_882.jpg,1
dataset\1\C1_1213.jpg,1
dataset\1\C1_632.jpg,1
dataset\3\C3_1249.jpg,3
dataset\2\C2_418.jpg,2
dataset\2\C2_1262.jpg,2
dataset\1\C1_2945.jpg,1
dataset\0\C0_548.jpg,0
dataset\1\C1_424.jpg,1
dataset\1\C1_502.jpg,1
dataset\2\C2_2106.jpg,2
dataset\3\C3_774.jpg,3
dataset\3\C3_453.jpg,3
dataset\0\C0_1932.jpg,0
dataset\2\C2_1575.jpg,2
dataset\1\C1_160.jpg,1
dataset\3\C3_1192.jpg,3
dataset\2\C2_2595.jpg,2
dataset\0\C0_269.jpg,0
dataset\0\C0_2419.jpg,0
dataset\1\C1_1670.jpg,1
dataset\1\C1_582.jpg,1
dataset\1\C1_154.jpg,1
dataset\3\C3_614.jpg,3
dataset\1\C1_2697.jpg,1
dataset\1\C1_2405.jpg,1
dataset\1\C1_1119.jpg,1
dataset\3\C3_275.jpg,3
dataset\1\C1_143.jpg,1
dataset\1\C1_383.jpg,1
dataset\2\C2_1710.jpg,2
dataset\0\C0_520.jpg,0
dataset\2\C2_997.jpg,2
dataset\0\C0_2252.jpg,0
dataset\1\C1_27.jpg,1
dataset\2\C2_355.jpg,2
dataset\3\C3_658.jpg,3
dataset\3\C3_1262.jpg,3
dataset\2\C2_154.jpg,2
dataset\3\C3_426.jpg,3
dataset\0\C0_2013.jpg,0
dataset\2\C2_1635.jpg,2
dataset\0\C0_535.jpg,0
dataset\3\C3_204.jpg,3
dataset\0\C0_1616.jpg,0
dataset\1\C1_1001.jpg,1
dataset\3\C3_2447.jpg,3
dataset\2\C2_313.jpg,2
dataset\2\C2_475.jpg,2
dataset\2\C2_2717.jpg,2
dataset\0\C0_1724.jpg,0
dataset\3\C3_1554.jpg,3
dataset\0\C0_2750.jpg,0
dataset\1\C1_1140.jpg,1
dataset\0\C0_2259.jpg,0
dataset\1\C1_1356.jpg,1
dataset\3\C3_690.jpg,3
dataset\1\C1_2783.jpg,1
dataset\0\C0_2284.jpg,0
dataset\3\C3_2212.jpg,3
dataset\0\C0_329.jpg,0
dataset\3\C3_2508.jpg,3
dataset\3\C3_652.jpg,3
dataset\0\C0_2241.jpg,0
dataset\0\C0_1097.jpg,0
dataset\2\C2_247.jpg,2
dataset\2\C2_1241.jpg,2
dataset\1\C1_620.jpg,1
dataset\1\C1_2296.jpg,1
dataset\2\C2_385.jpg,2
dataset\1\C1_2529.jpg,1
dataset\3\C3_599.jpg,3
dataset\1\C1_1924.jpg,1
dataset\2\C2_1862.jpg,2
dataset\1\C1_1343.jpg,1
dataset\1\C1_1116.jpg,1
dataset\1\C1_3038.jpg,1
dataset\0\C0_2079.jpg,0
dataset\0\C0_2492.jpg,0
dataset\0\C0_1437.jpg,0
dataset\0\C0_2292.jpg,0
